name,parkCode,state,longitude,latitude,totalSites,tentOnly,electricalHookups,showers,dumpStation,host,potableWater,firewoodForSale,reservationUrl
Barry's Landing & Trail Creek Campground,bica,WY,-108.2255711,45.10441283,30,16,0,['None'],No,Yes - seasonal,['No water'],No,http://www.hiddentreasurecharters.com
Belle Fourche River Campground,deto,WY,-104.7063435,44.58183404,46,3,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Bridge Bay Campground,yell,WY,-110.4369237,44.53443775,432,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Canyon Campground,yell,WY,-110.4879124,44.73538375,273,0,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Colter Bay Campground,grte,WY,-110.641379,43.90747805,324,0,13,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258830
Colter Bay RV Park,grte,WY,-110.641324,43.905642,112,0,112,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258831
Colter Bay Tent Village,grte,WY,-110.6349474,43.90415027,66,0,0,['Coin-Operated - Seasonal'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/10099575
Fishing Bridge RV Park,yell,WY,-110.3694723,44.56475525,310,0,310,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://secure.yellowstonenationalparklodges.com/booking/lodging
Grant Village Campground,yell,WY,-110.563445,44.39425335,430,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Gros Ventre Campground,grte,WY,-110.665884,43.61590783,279,0,39,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247661
Headwaters Campground,grte,WY,-110.6710202,44.10589806,171,34,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258832
Horseshoe Bend Campground,bica,WY,-108.26,44.96,68,0,28,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,http://www.horseshoebend-marina.com
Indian Creek Campground,yell,WY,-110.7360686,44.88702325,70,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259304
Jenny Lake Campground,grte,WY,-110.7193935,43.7552632,61,51,0,"['Coin-Operated - Seasonal', 'None']",No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247664
Lewis Lake Campground,yell,WY,-110.6279873,44.28220565,85,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259309
Lizard Creek Campground,grte,WY,-110.6886593,44.00346925,60,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247785
Madison Campground,yell,WY,-110.8613027,44.64542155,276,117,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Mammoth Campground,yell,WY,-110.6932316,44.97360955,85,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247571
Medicine Creek Campground,bica,WY,-108.2043116,45.11018066,5,5,0,['None'],No,No,['No water'],No,
Norris Campground,yell,WY,-110.6936151,44.73784855,112,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Pebble Creek Campground,yell,WY,-110.1138084,44.91698135,27,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259307
Signal Mountain Campground,grte,WY,-110.613487,43.84147805,81,4,25,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247663
Slough Creek Campground,yell,WY,-110.3068792,44.94884665,16,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259310
Tower Fall Campground,yell,WY,-110.3894759,44.88954985,31,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Army Camp,neri,WV,-81.092319,37.858852,11,0,0,['None'],No,No,['No water'],No,
Brooklyn Campground,neri,WV,-81.027881,37.984096,5,5,0,['None'],No,No,['No water'],No,
Burnwood Group Campsite,neri,WV,-81.077535,38.073636,1,0,0,['None'],No,No,['Yes - year round'],No,
Glade Creek Campground,neri,WV,-81.013398,37.829446,11,6,0,['None'],No,No,['No water'],No,
Grandview Sandbar,neri,WV,-81.051906,37.857116,16,6,0,['None'],No,No,['No water'],No,
Marcus Island Campground,laro,WV,-118.0573683,48.66873219,25,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/274993
Meadow Creek Campground,neri,WV,-80.92009,37.79667,26,26,0,['None'],No,No,['No water'],No,
Stone Cliff,neri,WV,-81.0638,37.933636,7,6,0,['None'],No,No,['No water'],No,
Thayer Campground,neri,WV,-81.032211,37.902,4,4,0,['None'],No,No,['No water'],No,
Cloverleaf Campground,laro,WA,-118.1468585,48.29711097,7,7,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275085
Colonial Creek North Campground,noca,WA,-121.101,48.691,41,10,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246855?tab=campsites
Colonial Creek South Campground,noca,WA,-121.094,48.687,96,19,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/255201
Dosewallips Campground (Walk-In Only),olym,WA,-123.1647009,47.7373029,14,14,0,['None'],No,No,['No water'],No,
Evans Campground,laro,WA,-118.0176515,48.69881815,43,3,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10064643
Evans Group Site,laro,WA,-118.018959,48.701517,1,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234065
Fairholme Campground,olym,WA,-123.9181384,48.07008,88,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/259084
Fort Casey State Park,ebla,WA,-122.6740096,48.15686107,0,0,0,[],,,[],,
Fort Ebey State Park,ebla,WA,-101.6289341,35.64741989,0,0,0,[],,,[],,
Fort Spokane Campground,laro,WA,-118.3059187,47.91057784,67,4,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234062
Fort Spokane Group Sites,laro,WA,-118.311859,47.908742,2,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234069
Gifford Campground,laro,WA,-118.1427996,48.28585757,42,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10064687
Gifford Group Site,laro,WA,-118.143881,48.288223,1,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234067
Goodell Creek Campground,noca,WA,-121.267,48.673,19,0,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246852
Graves Creek Campground,olym,WA,-123.5767954,47.57383109,30,0,0,['None'],No,Yes - seasonal,['No water'],No,
Haag Cove Campground,laro,WA,-118.1518042,48.56066088,18,6,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275082
Hawk Creek Campground,laro,WA,-118.3249519,47.81516448,20,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275091
Heart O' the Hills Campground,olym,WA,-123.4299673,48.03626643,97,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,
Hoh Campground,olym,WA,-123.9355401,47.8583525,78,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,http://www.recreation.gov/camping/campgrounds/247592
Hunters Campground,laro,WA,-118.231332,48.1255473,37,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10064730
Hunters Group Sites,laro,WA,-118.230877,48.12544,3,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234068
Jones Bay Campground,laro,WA,-118.5828334,47.91989955,9,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275092
Kamloops Island Campground,laro,WA,-118.1170088,48.67832415,17,9,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275029
Kettle Falls Campground,laro,WA,-118.1235713,48.60151765,74,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234061
Kettle River Campground,laro,WA,-118.1226873,48.71593087,13,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275028
Locust Grove Group Sites,laro,WA,-118.114979,48.592901,2,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234066
Lower Goodell Creek Group Campground,noca,WA,-121.2713645,48.67657476,2,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/234088
Mora Campground,olym,WA,-124.6059374,47.91686101,94,0,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247591
Newhalem Creek Campground,noca,WA,-121.261,48.671,107,13,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234060/campsites
North Fork Campground,olym,WA,-123.6508033,47.56985202,9,0,0,['None'],No,No,['No water'],No,
North Gorge Campground,laro,WA,-118.0032886,48.78647567,12,6,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/274908
Ozette Campground,olym,WA,-124.6676932,48.15324009,15,0,0,['None'],No,No,['No water'],No,
Queets Campground,olym,WA,-124.0177769,47.62599463,20,0,0,['None'],No,No,['No water'],No,
Snag Cove Campground,laro,WA,-118.0604181,48.73370743,9,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275027
South Beach Campground,olym,WA,-124.3613879,47.5660234,55,0,0,['None'],No,Yes - seasonal,['No water'],No,
Spring Canyon Campground,laro,WA,-118.9400495,47.93304083,68,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234064
Spring Canyon Group Sites,laro,WA,-118.94087,47.934625,2,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234071
Staircase Campground,olym,WA,-123.3296681,47.51537313,49,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Upper Goodell Creek Group Campsite,noca,WA,-121.2707765,48.68327687,1,1,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/234089
Big Meadows Campground,shen,VA,-78.4369404,38.5279623,221,51,0,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232459
Cabin Camp 1 (By Reservation Only),prwi,VA,-77.35605255,38.59701769,1,0,0,['Hot - Year Round'],No,Yes - year round,['Yes - year round'],No,http://www.nps.gov/prwi/planyourvisit/group-cabin-camping.htm
Cabin Camp 3 (By Reservation Only),prwi,VA,-77.36493033,38.56367216,13,0,0,['Hot - Year Round'],No,Yes - year round,['Yes - year round'],No,http://www.nps.gov/prwi/planyourvisit/group-cabin-camping.htm
Cabin Camp 4 (By Reservation Only),prwi,VA,-77.35386082,38.59150926,1,0,0,['Hot - Year Round'],No,Yes - year round,['Yes - year round'],No,http://www.nps.gov/prwi/planyourvisit/group-cabin-camping.htm
Cabin Camp 5 (By Reservation Only),prwi,VA,-77.41256789,38.57577906,1,0,0,['Hot - Year Round'],No,No,['Yes - year round'],No,http://www.nps.gov/prwi/planyourvisit/group-cabin-camping.htm
Chopawamsic Backcountry Area,prwi,VA,-77.40690973,38.55876143,8,8,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/259170
Dundo Group Campground,shen,VA,-78.7216,38.2341,3,3,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/252470
Lewis Mountain Campground,shen,VA,-78.478096,38.43556,30,0,0,['Coin-Operated - Seasonal'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Loft Mountain Campground,shen,VA,-78.670701,38.246415,207,50,0,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232433
Mathews Arm Campground,shen,VA,-78.296388,38.763144,165,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232432
Oak Ridge Campground,prwi,VA,-77.41609902,38.60042022,100,33,0,"['Hot - Year Round', 'Free - Year Round']",No,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/233379
Otter Creek,blri,VA,-79.33743607,37.57569395,68,45,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251534
Peaks of Otter Campground,blri,VA,-79.60497847,37.44338475,139,88,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/233403
Prince William Forest RV Campground,prwi,VA,-77.350905,38.603929,72,1,72,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],Yes - year round,
Rocky Knob Campground,blri,VA,-80.34939137,36.81298805,106,25,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/233324
The Colonies RV and Travel Park,fomr,VA,-76.298918,37.022068,47,25,22,"['Hot - Year Round', 'Free - Year Round']",Yes - year round,Yes - year round,['Yes - year round'],Yes - year round,https://v3.bookyoursite.com/colonies/reservation/
Turkey Run Ridge Group Campground,prwi,VA,-77.37274734,38.5816014,9,9,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/234717
Backcountry Camping,care,UT,,,0,0,0,[],,,[],,
Bullfrog RV & Campground,glca,UT,-110.7210295,37.51996915,98,0,18,"['Hot - Year Round', 'Coin-Operated - Year Round']",Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,http://www.lakepowell.com/rv-camping/bullfrog-rv-campground/
Devils Garden Campground,arch,UT,-109.588799,38.77733292,51,0,0,['None'],No,Yes - seasonal,['No water'],Yes - year round,https://www.recreation.gov/camping/campgrounds/234059
Fruita Campground,care,UT,-111.2480979,38.28256074,71,7,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/272245
Green River Campground,dino,UT,-109.2431757,40.42097747,80,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234777
Group Campsite,care,UT,-111.2514,38.2789,1,0,0,['None'],Yes - year round,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/251709
Halls Crossing RV & Campground,glca,UT,-110.7182014,37.4577994,72,41,31,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.lakepowell.com/rv-camping/halls-crossing-rv-campground/
Hite Outpost Adventure Center - Closed until further notice,glca,UT,-110.381007,37.87686,35,21,14,['None'],Yes - year round,No,['Yes - seasonal'],No,
Island in the Sky (Willow Flat) Campground,cany,UT,-109.8881293,38.38338072,12,0,0,['None'],No,No,['No water'],No,
Natural Bridges Campground,nabr,UT,-109.9841931,37.60921844,13,0,0,['None'],No,No,['No water'],No,
North Campground,brca,UT,-112.167922,37.638096,100,46,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234058
Primitive campsites at Cathedral Campground,care,UT,-111.3673,38.4746,6,0,0,['None'],No,No,['No water'],No,
Primitive campsites at Cedar Mesa Campground,care,UT,-111.0846,38.0073,5,0,0,['None'],No,No,['No water'],No,
Rainbow Park Campground,dino,UT,-109.1744316,40.49569307,4,4,0,['None'],No,No,['No water'],No,
Split Mountain Group Campground,dino,UT,-109.2523126,40.44052796,4,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234751
Stanton Creek Primitive Camping Area,glca,UT,-110.699117,37.498985,0,0,0,['None'],No,No,"['Water', ' but not potable']",No,
Sunset Campground,brca,UT,-112.174839,37.62228683,100,50,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campsites/8274
The Needles Campground,cany,UT,-109.8012163,38.14659583,29,5,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251535
Bird Island Basin Campground,pais,TX,-97.313693,27.466794,34,0,0,['None'],No,Yes - seasonal,['No water'],No,
Blue Creek,lamr,TX,-101.6638413,35.72307202,50,0,0,['None'],No,No,['No water'],No,
Bugbee Canyon,lamr,TX,-101.590147,35.7248099,10,0,0,['None'],No,No,['No water'],No,
Cedar Canyon Campground,lamr,TX,-101.24451,35.79584,15,0,0,['None'],No,No,['Yes - year round'],No,
Chimney Hollow Campground,lamr,TX,-101.642234,35.69186029,15,0,0,[],,,[],,
Dog Canyon Campground,gumo,TX,-104.8328472,31.99489835,15,9,0,['None'],No,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/258852
Fritch Fortress,lamr,TX,-101.5983113,35.68174578,15,0,0,['Hot - Year Round'],Yes - year round,No,['Yes - year round'],No,
Malaquite Campground,pais,TX,-97.296189,27.43023,48,6,0,"['Cold - Year Round', 'Free - Year Round']",Yes - year round,Yes - seasonal,['Yes - year round'],No,
Pine Springs Campground,gumo,TX,-104.8263407,31.89526173,35,20,0,['None'],No,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/258851
Plum Creek Campgrounds,lamr,TX,-102.78333,35.516667,45,0,0,['None'],No,No,['No water'],No,
Abrams Creek Campground,grsm,TN,-83.93318327,35.61074665,16,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/273847
Balsam Mountain Campground,grsm,TN,-83.17429877,35.56543625,42,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Bandy Creek Campground,biso,TN,-84.69712297,36.48866105,149,39,98,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],Yes - year round,https://www.recreation.gov/camping/campgrounds/232506?q=Bandy%20Creek
Big Creek Campground,grsm,TN,-83.11138107,35.75007765,12,12,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/273821
Cades Cove Campground,grsm,TN,-83.77629277,35.60272465,159,31,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232488
Cades Cove Group Campground,grsm,TN,-83.77130987,35.60389165,3,3,0,['None'],Yes - year round,Yes - year round,['Yes - year round'],Yes - seasonal,
Cosby Campground,grsm,TN,-83.20925027,35.75454485,157,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232479
Elkmont Campground,grsm,TN,-83.58274047,35.65875715,220,23,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232487
Elkmont Group Campground,grsm,TN,-83.58638187,35.65967585,4,4,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232436
Look Rock Campground,grsm,TN,-83.93614247,35.63690475,68,5,10,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10207636
"Meriwether Lewis Campground, Milepost 385.9",natr,TN,-87.45568517,35.52249185,31,0,0,['None'],No,Yes - seasonal,['Yes - year round'],No,
Smokemont Group Campground,grsm,TN,-83.31280157,35.55980785,0,0,0,[],,,[],,
Station Camp Campground,biso,TN,-84.63521727,36.54584975,24,24,24,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10004358?q=Station%20Camp%20Campground
Cedar Pass Campground,badl,SD,-101.950161,43.744154,96,82,10,"['Hot - Seasonal', 'Coin-Operated - Seasonal']",Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.cedarpasslodge.com/campground/
Elk Mountain Campground,wica,SD,-103.4882345,43.56547072,61,62,0,['None'],No,No,['Yes - seasonal'],Yes - year round,https://www.recreation.gov/camping/campgrounds/246878
Sage Creek Campground,badl,SD,-102.414254,43.893146,22,0,0,['None'],No,No,['No water'],No,
Dingmans Campground,dewa,PA,-74.8736984,41.2110633,136,80,34,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
McMillan Woods Youth Campground,gett,PA,-77.246171,39.821005,10,10,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251763
Cave Creek Campground,orca,OR,-123.4316997,42.1142851,17,17,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
"Lost Creek Campground, elevation 6,000 feet (1,829 meters)",crla,OR,-122.0387112,42.87974939,16,16,0,['None'],No,No,['No water'],No,
Mazama Campground,crla,OR,-122.1677826,42.86862146,214,121,18,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.travelcraterlake.com/lodging-camping/mazama-campground/
Boulder Beach Campground (Lake Mead),lake,NV,-114.8019166,36.03695033,135,135,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10075120
Boulder Beach Group Campground (Lake Mead),lake,NV,-114.8025731,36.0375252,5,5,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10048964?tab=info
Callville Bay RV Park (Lake Mead),lake,NV,-114.725594,36.143263,0,0,0,[],,,[],,
