name,parkCode,state,longitude,latitude,totalSites,tentOnly,electricalHookups,showers,dumpStation,host,potableWater,firewoodForSale,reservationUrl
Dunewood Campground,indu,IN,-86.983786,41.671966,66,66,0,"['Hot - Seasonal', 'Cold- Seasonal', 'Free - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/258887
City of Rocks Campground,ciro,ID,-113.701382,42.067203,67,49,0,['None'],No,No,['Yes - seasonal'],No,https://www.reserveamerica.com/explore/city-of-rocks-national-reserve/ID/315044/overview
Lava Flow Campground,crmo,ID,-113.5591319,43.46070031,42,0,0,['None'],No,No,['Yes - seasonal'],No,
Smoky Mountain Campground,ciro,ID,-113.651634,42.0755503,38,0,38,['Hot - Seasonal'],Yes - year round,Yes - seasonal,['Yes - seasonal'],No,https://www.reserveamerica.com/explore/castle-rocks-state-park/ID/315045/overview
Hosmer Grove Campground,hale,HI,-156.237592,20.768155,6,6,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10068557
Kulanaokuaiki,havo,HI,-155.2740764,19.34366665,9,9,0,['None'],No,No,['No water'],No,
Kīpahulu Campground,hale,HI,-156.044492,20.659705,9,9,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10068563
Nāmakanipaio,havo,HI,-155.2958787,19.42537365,16,16,0,['None'],No,No,['Yes - year round'],Yes - year round,
Bear Island Campground,bicy,FL,-81.24747527,26.18323975,40,0,0,[],,,[],,https://www.recreation.gov
Boca Chita Campground,bisc,FL,-80.1746,25.5231,60,60,0,"['Cold- Seasonal', 'Free - Seasonal']",No,No,"['Water', ' but not potable']",No,
Burns Lake,bicy,FL,-81.22976967,25.89311885,0,0,0,['None'],No,Yes - seasonal,['No water'],No,https://www.recreation.gov/camping/campgrounds/246890
Canaveral National Seashore Backcountry Island Camping,cana,FL,-80.82460297,28.92700096,14,14,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/251854/itinerary
Flamingo Campground,ever,FL,-80.938773,25.137212,274,274,41,"['Free - Year Round', 'Hot - Year Round']",Yes - year round,Yes - year round,['Yes - year round'],Yes - year round,https://flamingoeverglades.com/camping/
Fort Pickens Campground,guis,FL,-87.27597278,30.32320835,200,20,200,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],No,
Garden Key Campground,drto,FL,-82.87340644,24.62701096,8,8,0,['None'],No,Yes - year round,['No water'],No,
Gator Head,bicy,FL,-81.26775567,26.22381755,9,9,0,['None'],No,Yes - seasonal,['No water'],No,
Long Pine Key Campground,ever,FL,-80.65696978,25.39790023,108,108,0,"['Free - Year Round', 'Hot - Year Round']",Yes - year round,Yes - seasonal,['Yes - year round'],No,https://flamingoeverglades.com/camping/
Midway Campground,bicy,FL,-80.989444,25.851926,36,10,26,['None'],Yes - year round,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/246892
Mitchell's Landing,bicy,FL,-80.93059818,25.75644965,11,0,0,['None'],No,Yes - seasonal,['No water'],No,https://www.recreation.gov
Monument Lake,bicy,FL,-81.11313148,25.86846635,36,10,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246894
Naval Live Oaks Youth Group Camping,guis,FL,-87.14231198,30.36898925,1,0,0,[],,,[],,
Pinecrest,bicy,FL,-80.91806307,25.76155555,4,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/246895
Pink Jeep,bicy,FL,-81.29514338,26.21633105,9,9,0,['None'],No,Yes - seasonal,['No water'],No,
Aspenglen Campground,romo,CO,-105.5930545,40.39934771,52,13,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/233187
Backpacking Campsites in the Dunes or Forest,grsa,CO,-105.535601,37.77724,27,27,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/permits/4675316
Deerlodge Park Campground,dino,CO,-108.5133041,40.44648076,7,7,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
East Portal Campground,blca,CO,-107.649306,38.526896,15,10,0,['None'],No,No,['Yes - seasonal'],No,
Echo Park Campground,dino,CO,-108.9932307,40.52086684,22,17,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259557
Gates of Lodore Campground,dino,CO,-108.8878244,40.72492348,19,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Glacier Basin Campground,romo,CO,-105.5956293,40.32980715,150,73,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232462
Hovenweep Campground,hove,CO,-109.070815,37.38320327,31,0,0,['None'],No,No,['Yes - seasonal'],No,
Moraine Park Campground,romo,CO,-105.6000662,40.3606615,244,101,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232463
Morefield Campground,meve,CO,-108.4179125,37.30149927,267,85,15,"['Hot - Seasonal', 'Free - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.visitmesaverde.com/lodging-camping/morefield-campground/
North Rim Campground,blca,CO,-107.7094278,38.58518333,13,0,0,['None'],No,No,['Yes - seasonal'],No,
Piñon Flats Campground,grsa,CO,-105.5047031,37.74493686,91,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234685
Saddlehorn Campground,colm,CO,-108.7325753,39.10560329,80,0,0,['None'],No,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/234778
South Rim Campground,blca,CO,-107.6894241,38.54381032,88,0,23,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234052
Timber Creek Campground,romo,CO,-105.8527514,40.37922514,98,30,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/260552?tab=campsites
Anacapa Island Campground,chis,CA,-119.3677631,34.01434265,7,7,0,['None'],No,Yes - year round,['No water'],No,https://www.recreation.gov/camping/campgrounds/232502
Atwell Mill Campground,seki,CA,-118.6696722,36.46466812,21,21,0,['None'],No,No,['Yes - seasonal'],No,
Azalea Campground,seki,CA,-118.9677768,36.74133435,110,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/10124502
Belle Campground,jotr,CA,-116.019762,34.00193735,18,0,0,['None'],No,No,['No water'],No,
Bicentennial Campground,goga,CA,-122.5267255,37.82457211,3,3,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272229
Black Canyon Group and Equestrian Campground,moja,CA,-115.3829568,35.04862556,2,0,0,['None'],No,No,['Yes - year round'],No,
Brandy Creek,whis,CA,-122.5749567,40.61739333,2,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272250
Brandy Creek RV,whis,CA,-122.57476,40.61705,15,0,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10047085?q=Brandy%20Creek%20Rv%20Campground
Buckeye Flat Campground,seki,CA,-118.7641065,36.52243302,27,27,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/249982
Butte Lake Campground,lavo,CA,-121.3057643,40.56480116,101,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234156
Canyon View Campground,seki,CA,-118.6654493,36.78719294,16,0,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234753
Circle X Ranch Campground - CLOSED,samo,CA,-118.9265255,34.111279,1,0,0,['None'],No,Yes - year round,['No water'],No,https://www.recreation.gov/camping/campgrounds/233381
Coast Campground,pore,CA,-122.8543753,38.01717281,14,14,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/233359
Cold Springs Campground,seki,CA,-118.6124106,36.45130196,40,40,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246864
Cottonwood Campground,jotr,CA,-115.8128299,33.74488013,62,0,0,['None'],Yes - year round,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/272299
Crystal Creek,whis,CA,-122.6710333,40.6422,2,2,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272247
Crystal Springs Campground,seki,CA,-118.9629581,36.74532774,50,0,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/251008
Dorst Creek Campground,seki,CA,-118.8085026,36.63617121,222,12,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232460
Elk Prairie Campgound,redw,CA,-124.0294328,41.35982485,75,21,0,"['Hot - Year Round', 'Free - Year Round']",No,Yes - seasonal,['Yes - year round'],Yes - year round,https://www.reservecalifornia.com/CaliforniaWebHome/
Emigrant Campground,deva,CA,-117.2277348,36.49652304,10,10,0,['None'],No,No,['Yes - year round'],No,
Eureka Dunes Campground (Primitive),deva,CA,-117.6809,37.112,7,0,0,['None'],No,No,['No water'],No,
Furnace Creek Campground,deva,CA,-116.868826,36.4630684,136,45,18,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/232496
Glen Campground,pore,CA,-122.7884879,37.98931071,12,12,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/233359
Gold Bluffs Beach Campground,redw,CA,-124.0698822,41.38221739,26,0,0,"['Hot - Year Round', 'Free - Year Round']",No,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.reservecalifornia.com/CaliforniaWebHome/
Hawk Campground,goga,CA,-122.5206461,37.85415754,3,3,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/258815
Haypress Campground,goga,CA,-122.5464545,37.86078512,6,5,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10067346
Hole-in-the-Wall Campground,moja,CA,-115.3935652,35.04602382,35,2,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,
Homestake Campground (Primitive),deva,CA,-117.5738,36.6376,10,0,0,['None'],No,No,['No water'],No,
Horse Camp,whis,CA,-122.5313889,40.57611111,2,3,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/272244
Indian Cove Campground,jotr,CA,-116.1588536,34.09346715,101,0,0,['None'],No,Yes - seasonal,['No water'],No,https://www.recreation.gov/camping/campgrounds/232472
Indian Well Campground,labe,CA,-121.5041447,41.71747074,43,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,
Jedediah Smith Campground,redw,CA,-124.0864474,41.79572648,86,22,0,['Coin-Operated - Year Round'],Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,http://www.parks.ca.gov/?page_id=413
Jumbo Rocks Campground,jotr,CA,-116.0592518,33.99075645,124,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272300
Juniper Lake Campground,lavo,CA,-121.2964616,40.44964866,18,0,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/234524
Kirby Cove Campground,goga,CA,-122.4903935,37.82790212,6,5,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/232491
Lodgepole Campground,seki,CA,-118.726883,36.60577263,214,76,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232461
Lost Creek Group Campground,lavo,CA,-121.5177188,40.56184114,8,0,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234042
Lower Pines Campground,yose,CA,-119.5663138,37.73946589,73,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232450
Mahogany Flat Campground (Primitive),deva,CA,-117.068377,36.23,9,0,0,['None'],No,No,['No water'],No,
Manzanita Lake Campground,lavo,CA,-121.5631866,40.52785157,179,30,0,"['Hot - Seasonal', 'Coin-Operated - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234039
Mesquite Spring Campground,deva,CA,-117.3678256,36.96328198,40,0,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,
Mid-Hills Campground,moja,CA,-115.435625,35.13148092,26,26,0,['None'],No,No,['No water'],No,
Mill Creek Campground,redw,CA,-124.0977846,41.70272417,145,22,0,"['Hot - Seasonal', 'Coin-Operated - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.reservecalifornia.com/CaliforniaWebHome/
Moraine Campground,seki,CA,-118.6610568,36.78521626,121,0,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/10044761
North Pines Campground,yose,CA,-119.5650308,37.74041634,80,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232449
Peltier Bridge,whis,CA,-122.5518167,40.5857833,9,9,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272248
Pinnacles Campground,pinn,CA,-121.148968,36.4898446,134,83,25,"['Hot - Year Round', 'Coin-Operated - Year Round']",Yes - year round,Yes - year round,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234015
Ryan Campground,jotr,CA,-116.1543904,33.98305834,32,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10056207
San Miguel Island Campground,chis,CA,-120.349462,34.0407938,9,9,0,['None'],No,Yes - year round,['No water'],No,https://www.recreation.gov/camping/campgrounds/232501
Santa Barbara Island Campground,chis,CA,-119.0294612,33.48000172,10,10,0,['None'],No,Yes - year round,['No water'],No,https://www.recreation.gov/camping/campgrounds/232500
Santa Cruz Island Del Norte Backcountry Campground,chis,CA,-119.6603405,34.01107497,4,4,0,['None'],No,Yes - year round,['No water'],No,https://www.recreation.gov/camping/campgrounds/232499
Santa Cruz Island Scorpion Canyon Campground,chis,CA,-119.5611254,34.04800649,31,31,0,['None'],No,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/232498
Santa Rosa Island Backcountry Beach Camping,chis,CA,-120.1149422,33.88529551,30,30,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/261700
Santa Rosa Island Campground,chis,CA,-120.0474132,33.99186391,15,15,0,['None'],No,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/232497
Sentinel Campground,seki,CA,-118.6720362,36.79032772,82,0,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/253917
Sheep Camp,whis,CA,-122.5948084,40.59987622,4,4,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272243
Sheep Creek Campground,seki,CA,-118.6805967,36.79213706,111,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/10044765
Sheep Pass Group Campground,jotr,CA,-116.1205006,34.00009094,6,6,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/232470
Sky Campground,pore,CA,-122.8288274,38.03991511,12,12,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/233359
South Fork Campground,seki,CA,-118.7654698,36.34998443,10,10,0,['None'],No,No,['No water'],No,
Southwest Walk-In Campground,lavo,CA,-121.532641,40.43660042,21,21,0,['None'],No,No,['Yes - year round'],No,
Stovepipe Wells Campground,deva,CA,-117.148116,36.60788588,190,28,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - year round,
Summit Lake North Campground,lavo,CA,-121.4249494,40.4946208,46,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234041?q=Summit%20Lake%20North
Summit Lake South Campground,lavo,CA,-121.4246483,40.49041219,49,23,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234040
Sunset Campground,deva,CA,-116.8638185,36.45884381,230,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Sunset Campground,seki,CA,-118.9651803,36.73736844,158,0,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234752
Texas Springs Campground,deva,CA,-116.8526669,36.45889894,92,26,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Thorndike Campground (Primitive),deva,CA,-117.072172,36.236917,6,0,0,['None'],No,No,['No water'],No,
Tomales Bay Boat-in Camping,pore,CA,-122.915392,38.163318,20,20,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/233359
Upper Pines Campground,yose,CA,-119.5644112,37.73842947,235,5,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/232447
Alamo Canyon Primitive Campground,orpi,AZ,-112.728093,32.072943,4,4,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/247566
Beehives Campground,glca,AZ,-111.496291,36.938243,6,0,0,['None'],No,No,['No water'],No,
Canyon View Campground,nava,AZ,,,13,13,0,[],,,[],,http://www.nps.gov/nava
Colorado River Primitive Camping Between Glen Canyon Dam and Lees Ferry,glca,AZ,-111.5866863,36.86618866,5,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Desert View Campground (Reservations Required),grca,AZ,-111.8226088,36.03893682,49,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258825
Douglas Spring,sagu,AZ,-110.606875,32.227981,0,0,0,[],,,[],,
Grass Shack,sagu,AZ,-110.592818,32.183854,0,0,0,[],,,[],,
Happy Valley Saddle,sagu,AZ,-110.518452,32.154022,0,0,0,[],,,[],,
"Hite Primitive (Dirty Devil, Farley, White Canyon) camping",glca,AZ,-110.399782,37.864131,0,0,0,['None'],No,No,"['Water', ' but not potable']",No,
Juniper Basin,sagu,AZ,-110.644513,32.182818,0,0,0,[],,,[],,
Lees Ferry Campground,glca,AZ,-111.6062747,36.85934702,54,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - year round'],No,
Lone Rock Beach Primitive Camping Area,glca,AZ,-111.5403466,37.01615993,5000,0,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Manning Camp,sagu,AZ,-110.554542,32.207386,6,6,0,['None'],No,Yes - seasonal,['Yes - year round'],No,
Mather Campground - South Rim,grca,AZ,-112.1184973,36.04918081,327,55,0,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],Yes - year round,https://www.recreation.gov/camping/campgrounds/232490
North Rim Campground,grca,AZ,-112.0599744,36.20869016,87,12,0,"['Hot - Seasonal', 'Coin-Operated - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232489
Spud Rock Spring,sagu,AZ,-110.532126,32.204179,0,0,0,[],,,[],,
Sunset View Campground,nava,AZ,-110.542428,36.67252148,0,0,0,['None'],No,No,['Yes - year round'],No,
Trailer Village RV Park - South Rim,grca,AZ,-112.115001,36.052812,123,0,80,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],No,https://gc.synxis.com/rez.aspx?chain=398&template=respgc&shell=gccls&dest=gcnp&hotel=63275&_ga=2.214229012.246257283.1612044367-731013058.1606790486
Twin Peaks Campground,orpi,AZ,-112.8109417,31.94068108,208,34,0,['Free - Year Round'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/270816
Buffalo Point Campground,buff,AR,-92.5555763,36.0715555,108,21,82,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234043
Carver Campground,buff,AR,-93.0401838,35.9835736,8,8,0,['None'],No,No,['Yes - seasonal'],No,
Erbie Campground,buff,AR,-93.2149369,36.071327,21,2,0,['None'],No,No,['No water'],No,
Gulpha Gorge Campground,hosp,AR,-93.0360478,34.5243631,40,0,40,['None'],Yes - year round,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/247559
Kyles Landing,buff,AR,-93.2807539,36.0557786,33,33,0,['None'],No,No,['Yes - seasonal'],No,
Maumee South,buff,AR,-92.6356458,36.039486,0,0,0,['None'],No,No,['No water'],No,
Ozark Campground,buff,AR,-93.1598567,36.0640098,31,13,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Rush Campground,buff,AR,-92.5504512,36.1227473,12,12,0,['None'],No,No,['Yes - seasonal'],No,
Spring Creek Campground,buff,AR,-92.5844677,36.0299779,12,12,0,['None'],No,No,['No water'],No,
Steel Creek Campground,buff,AR,-93.3463189,36.0400289,40,26,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10001451
Tyler Bend Campground,buff,AR,-92.7595278,35.9868836,42,10,0,['Hot - Year Round'],Yes - seasonal,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/233119
Bartlett Cove Campground,glba,AK,-135.8944003,58.45078089,33,33,0,['None'],No,No,['Yes - year round'],No,
Brooks Camp Campground,katm,AK,-155.7775348,58.5597863,60,60,0,['Coin-Operated - Seasonal'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/permits/249991
Canyon City,klgo,AK,-135.3246672,59.6075624,11,11,0,['None'],No,No,"['Water', ' but not potable']",No,http://www.nps.gov/klgo/planyourvisit/permits.htm
Exit Glacier Campground,kefj,AK,-149.6181202,60.19096824,12,12,0,['None'],No,No,['Yes - seasonal'],No,
Finnegan's Point,klgo,AK,-135.3348773,59.575423,6,6,0,['None'],No,No,"['Water', ' but not potable']",No,http://www.nps.gov/klgo/planyourvisit/permits.htm
Kendesnii Campground,wrst,AK,-143.258776,62.52982,10,0,0,['None'],No,No,['No water'],No,
Pleasant Camp,klgo,AK,-135.2937064,59.6385221,11,11,0,['None'],No,No,"['Water', ' but not potable']",No,http://www.nps.gov/klgo/planyourvisit/permits.htm
Riley Creek,dena,AK,-148.894019,63.73335984,142,20,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,http://www.reservedenali.com
Sanctuary River,dena,AK,-149.4737484,63.72255876,7,7,0,['None'],No,No,['No water'],No,
Savage River,dena,AK,-149.2616553,63.71530418,32,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,http://www.reservedenali.com
Sheep Camp,klgo,AK,-135.2678594,59.6590711,27,27,0,['None'],No,No,"['Water', ' but not potable']",No,http://www.nps.gov/klgo/planyourvisit/permits.htm
Teklanika River,dena,AK,-149.5809738,63.67049835,53,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,http://www.reservedenali.com
